,DOI,title,author,volume,issue,issued_year,issued_month,crossref_ref_by_count,gscholar_ref_by_count,journal,file_name,cites_per_year
0,10.1016/0022-2496(64)90021-5,['Choice behavior and reward structure'],"['Jerome L. Myers', 'Richard C. Atkinson']",1,1,1964,1,15.0,50.0,jmp,1964-Myers-Behavior.txt,0.2
1,10.1016/0022-2496(64)90015-x,['Simultaneous conjoint measurement: A new type of fundamental measurement'],"['R.Duncan Luce', 'John W. Tukey']",1,1,1964,1,1350.0,3164.0,jmp,1964-Luce-Conjoint.txt,21.8
2,10.1016/0022-2496(64)90016-1,['Point estimation in learning models'],['Helena Chmura Kraemer'],1,1,1964,1,3.0,8.0,jmp,1964-Kraemer-Learning.txt,0.0
3,10.1016/0022-2496(64)90022-7,['Transfer effects in discrimination learning'],"['Morton P. Friedman', 'Harold Gelfand']",1,1,1964,1,9.0,38.0,jmp,1964-Friedman-Discrimination.txt,0.1
4,10.1016/0022-2496(64)90018-5,"['Sensory thresholds, response biases, and the neural quantum theory']",['Donald A. Norman'],1,1,1964,1,53.0,64.0,jmp,"1964-Norman-Thresholds,.txt",0.9
5,10.1016/0022-2496(64)90019-7,['Linear models for responses measured on a continuous scale'],['Norman H. Anderson'],1,1,1964,1,15.0,51.0,jmp,1964-Anderson-Models.txt,0.2
6,10.1016/0022-2496(64)90017-3,['Attention and the metric structure of the stimulus space'],['Roger N. Shepard'],1,1,1964,1,432.0,1013.0,jmp,1964-Shepard-Metric.txt,7.0
7,10.1016/0022-2496(64)90020-3,['Component learning in the four-category concept problem'],"['Tom Trabasso', 'Gorden Bower']",1,1,1964,1,16.0,45.0,jmp,1964-Trabasso-Learning.txt,0.3
8,10.1016/0022-2496(64)90004-5,['A generalization of a theorem of dimensional analysis'],['R.Duncan Luce'],1,2,1964,7,37.0,61.0,jmp,1964-Luce-Generalization.txt,0.6
9,10.1016/0022-2496(64)90006-9,['Finite state models for perception'],"['Gilbert K Krulee', 'David J Kuck']",1,2,1964,7,1.0,1.0,jmp,1964-Krulee-State.txt,0.0
10,10.1016/0022-2496(64)90012-4,['Programming a computer model of neurosis'],"['Kenneth Mark Colby', 'John P Gilbert']",1,2,1964,7,60.0,121.0,jmp,1964-Mark Colby-Computer.txt,1.0
11,10.1016/0022-2496(64)90001-x,['Stochastic models for the response continuum in a determinate situation: Comparisons and extensions'],"['Henry Rouanet', 'Seymour Rosenberg']",1,2,1964,7,7.0,15.0,jmp,1964-Rouanet-Models.txt,0.1
12,10.1016/0022-2496(64)90003-3,['Conjoint measurement: The Luce-Tukey axiomatization and some extensions'],['David H Krantz'],1,2,1964,7,101.0,236.0,jmp,1964-Krantz-Measurement:.txt,1.6
13,10.1016/0022-2496(64)90008-2,['Sequential decision-making in a computer-controlled task'],['Amnon Rapoport'],1,2,1964,7,13.0,34.0,jmp,1964-Rapoport-Decision_making.txt,0.2
14,10.1016/0022-2496(64)90011-2,['An all-or-none model for noncorrection routines with elimination of incorrect responses'],['Richar Millward'],1,2,1964,7,13.0,24.0,jmp,1964-Millward-All_or_none.txt,0.2
15,10.1016/0022-2496(64)90010-0,['On the optimal number of alternatives at a choice point'],['Amos Tversky'],1,2,1964,7,76.0,148.0,jmp,1964-Tversky-Optimal.txt,1.2
16,10.1016/0022-2496(64)90007-0,['Incremental learning on random trials'],['M.Frank Norman'],1,2,1964,7,16.0,34.0,jmp,1964-Norman-Learning.txt,0.3
17,10.1016/0022-2496(64)90009-4,['The learning of choices between bets'],"['Morton P Friedman', 'Gilbert Padilla', 'Harold Gelfand']",1,2,1964,7,4.0,8.0,jmp,1964-Friedman-Learning.txt,0.1
18,10.1016/0022-2496(64)90005-7,['A comparison of paired-associate learning models having different acquisition and retention axioms'],"['Richard C Atkinson', 'Edward J Crothers']",1,2,1964,7,71.0,176.0,jmp,1964-Atkinson-Comparison.txt,1.1
19,10.1016/0022-2496(64)90002-1,['Measurement structures and linear inequalities'],['Dana Scott'],1,2,1964,7,321.0,672.0,jmp,1964-Scott-Structures.txt,5.2
20,10.1016/0022-2496(65)90019-2,['A remark on functional dependence'],['J. Aczél'],2,1,1965,2,,,jmp,,
21,10.1016/0022-2496(65)90022-2,"['Effects of cost and gain ratios, and probability of outcome on ratings of alternative choices']",['Mary M. Suydam'],2,1,1965,2,5.0,,jmp,1965-Suydam-Cost.txt,0.1
22,10.1016/0022-2496(65)90025-8,['On Bush-Mosteller stochastic models for learning'],"['M. Iosifescu', 'R. Theodorescu']",2,1,1965,2,6.0,,jmp,1965-Iosifescu-Bush_Mosteller.txt,0.1
23,10.1016/0022-2496(65)90015-5,['Learning model solution to a problem in constrained optimization'],['Edward Crothers'],2,1,1965,2,3.0,14.0,jmp,1965-Crothers-Solution.txt,0.0
24,10.1016/0022-2496(65)90020-9,['A forgetting model for paired-associate learning'],['Harley A. Bernbach'],2,1,1965,2,22.0,,jmp,1965-Bernbach-Forgetting.txt,0.4
25,10.1016/0022-2496(65)90024-6,['Nonstationarity in paired-associate learning as indicated by a second guess procedure'],"['John R. Binford', 'Charles Gettys']",2,1,1965,2,12.0,,jmp,1965-Binford-Paired_associate.txt,0.2
26,10.1016/0022-2496(65)90014-3,['The general-gamma distribution and reaction times'],"['William J. McGill', 'John Gibbon']",2,1,1965,2,100.0,219.0,jmp,1965-McGill-General_gamma.txt,1.6
27,10.1016/0022-2496(65)90021-0,['Search behavior: A correction procedure for three-choice probability learning'],['Michael Cole'],2,1,1965,2,5.0,13.0,jmp,1965-Cole-Behavior:.txt,0.1
28,10.1016/0022-2496(65)90016-7,['The mathematical structure of reversal learning in a shock-escape T-maze: Overtraining and successive reversals'],['John Theios'],2,1,1965,2,10.0,,jmp,1965-Theios-Mathematical.txt,0.2
29,10.1016/0022-2496(65)90018-0,['Stochastic models for choice reaction time with applications to experimental results'],['J.C. Falmagne'],2,1,1965,2,97.0,,jmp,1965-Falmagne-Models.txt,1.6
30,10.1016/0022-2496(65)90023-4,['Decisions based on conflicting and inaccurate observations'],"['Wayne A. Wickelgren', 'Gordon M. Becker']",2,1,1965,2,3.0,7.0,jmp,1965-Wickelgren-Based.txt,0.0
31,10.1016/0022-2496(65)90017-9,['A paired comparison of pair comparisons'],"['C.J. Burke', 'Joseph L. Zinnes']",2,1,1965,2,16.0,,jmp,1965-Burke-Paired.txt,0.3
32,10.1016/0022-2496(65)90009-x,['An attention theory of discrimination learning'],['Elijah Lovejoy'],2,2,1965,7,20.0,,jmp,1965-Lovejoy-Attention.txt,0.3
33,10.1016/0022-2496(65)90003-9,['The relation between the discard and regularity conditions for choice probabilities'],['A.A.J. Marley'],2,2,1965,7,20.0,29.0,jmp,1965-Marley-Relation.txt,0.3
34,10.1016/0022-2496(65)90004-0,['Paired-associate models and the effects of list length'],"['Robert C. Calfee', 'Richard C. Atkinson']",2,2,1965,7,16.0,,jmp,1965-Calfee-Models.txt,0.3
35,10.1016/0022-2496(65)90005-2,['A measurement axiomatization for an essentially multiplicative representation of two factors'],['Ralph Roskies'],2,2,1965,7,22.0,,jmp,1965-Roskies-Axiomatization.txt,0.4
36,10.1016/0022-2496(65)90001-5,"[""Signal detection theory and Crozier's law: Derivation of a new sensory scaling procedure""]",['Michel Treisman'],2,2,1965,7,71.0,,jmp,"1965-Treisman-[""signal.txt",1.2
37,10.1016/0022-2496(65)90008-8,['Habituation of the GSR component of the orienting reflex during paired-associate learning before and after learning has taken place'],['Walter Kintsch'],2,2,1965,7,28.0,,jmp,1965-Kintsch-GSR.txt,0.5
